date,date_frac,m.y,country,code,cases,outbreak
01/01/2016,2016,Jan.16,Costa Rica,CRI,628,
01/02/2016,2016.084875,Feb.16,Costa Rica,CRI,962,
01/03/2016,2016.164275,Mar.16,Costa Rica,CRI,205,
01/04/2016,2016.24915,Apr.16,Costa Rica,CRI,190,
01/05/2016,2016.331287,May.16,Costa Rica,CRI,53,
01/06/2016,2016.416162,Jun.16,Costa Rica,CRI,0,
01/07/2016,2016.498299,Jul.16,Costa Rica,CRI,0,
01/08/2016,2016.583175,Aug.16,Costa Rica,CRI,0,e
01/09/2016,2016.66805,Sep.16,Costa Rica,CRI,0,
01/10/2016,2016.750187,Oct.16,Costa Rica,CRI,402,
01/11/2016,2016.835062,Nov.16,Costa Rica,CRI,192,
01/12/2016,2016.9172,Dec.16,Costa Rica,CRI,146,
01/01/2017,2017,Jan.17,Costa Rica,CRI,27,
01/02/2017,2017.084875,Feb.17,Costa Rica,CRI,48,
01/03/2017,2017.161537,Mar.17,Costa Rica,CRI,51,
01/04/2017,2017.246412,Apr.17,Costa Rica,CRI,20,
01/05/2017,2017.328549,May.17,Costa Rica,CRI,20,
01/06/2017,2017.413424,Jun.17,Costa Rica,CRI,33,
01/07/2017,2017.495562,Jul.17,Costa Rica,CRI,63,
01/08/2017,2017.580437,Aug.17,Costa Rica,CRI,27,
01/09/2017,2017.665312,Sep.17,Costa Rica,CRI,53,
01/10/2017,2017.747449,Oct.17,Costa Rica,CRI,50,
01/11/2017,2017.832324,Nov.17,Costa Rica,CRI,15,
01/12/2017,2017.914462,Dec.17,Costa Rica,CRI,51,
01/12/2013,2013.914462,Dec.13,Dominican Republic,DOM,0,s
01/01/2014,2014,Jan.14,Dominican Republic,DOM,0,
01/02/2014,2014.084875,Feb.14,Dominican Republic,DOM,0,
01/03/2014,2014.161537,Mar.14,Dominican Republic,DOM,0,
01/04/2014,2014.246412,Apr.14,Dominican Republic,DOM,7537,
01/05/2014,2014.328549,May.14,Dominican Republic,DOM,31119,
01/06/2014,2014.413424,Jun.14,Dominican Republic,DOM,126795,
