country,code,who_region,classification,infections_mean,infections_min,infections_max,total_pop_size,prevalence
Nigeria,NGA,Africa,Epidemic,1764892.884,1057951.725,2390596.02,185960244,0.0094907
Oman,OMN,EasternMed,Epidemic,36403.50127,0,94259.00101,4479217.001,0.008127202
Pakistan,PAK,EasternMed,Epidemic,1946641.4,1354257.284,2671421.915,203631356,0.009559635
Panama,PAN,Americas,Epidemic,21963.78307,0,63661.05924,4037073.002,0.005440522
Papua_New_Guinea,PNG,WesternPacific,Epidemic,51252.05713,0,144086.2078,8271766,0.006196024
Paraguay,PRY,Americas,Epidemic,39509.09076,0,117206.002,6777878.004,0.005829124
Peru,PER,Americas,Endemic,248881.3723,99863.94514,438530.7734,30926036,0.008047632
Philippines,PHL,WesternPacific,Epidemic,915585.2284,510700.2552,1398702.058,103663812,0.008832255
Puerto_Rico,PRI,Americas,Epidemic,17884.13791,0,47805.06382,3283121.001,0.005447298
Qatar,QAT,EasternMed,Epidemic,20809.33686,0,54551.30911,2654379.002,0.007839625
Rwanda,RWA,Africa,Endemic,143087.8814,34748.58944,271457.2638,11668829,0.012262403
Saudi_Arabia,SAU,EasternMed,Epidemic,257072.6714,54360.68001,559936.3326,32443443,0.007923717
Senegal,SEN,Africa,Epidemic,114603.8178,0,314906.6276,14993514,0.00764356
Sierra_Leone,SLE,Africa,Epidemic,51484.18794,0,143934.8803,7328846.003,0.00702487
Singapore,SGP,WesternPacific,Epidemic,49620.85668,0,134655.6459,5653624.996,0.008776821
Somalia,SOM,EasternMed,Epidemic,137467.5475,0,356126.9485,14185635,0.009690616
South_Africa,ZAF,Africa,Epidemic,352656.6999,138882.1633,626070.7566,56207649.01,0.006274176
South_Sudan,SSD,Africa,Epidemic,74405.57168,0,218442.4044,10832520,0.006868722
Sri_Lanka,LKA,SoutheastAsia,Epidemic,171321.1864,33521.99036,368252.9507,21021177,0.008149933
Sudan,SDN,EasternMed,Epidemic,404664.0153,162355.3968,714780.5288,39847433.01,0.010155335
Suriname,SUR,Americas,Epidemic,3553.895313,0,10436.39301,564883.0003,0.006291383
Swaziland,SWZ,Africa,Epidemic,7799.968512,0,21813.18004,1113994.001,0.007001805
Tanzania,TZA,Africa,Endemic,871431.8314,440171.3022,1615031.533,53049230.99,0.016426851
Thailand,THA,SoutheastAsia,Epidemic,568420.802,286136.2335,902891.475,68971313.02,0.008241409
Togo,TGO,Africa,Epidemic,55598.60328,0,153022.4557,7509952.007,0.007403323
Trinidad_and_Tobago,TTO,Americas,Epidemic,8164.226154,0,22468.57551,1377563,0.005926572
Turkey,TUR,Europe,Epidemic,13783.69382,788.5170715,47063.22244,79827868,0.000172668
Uganda,UGA,Africa,Epidemic,301715.5546,92189.91472,605761.8518,39649173,0.00760963
USA,USA,Americas,Epidemic,7694.76941,0,21098.11854,323015992,2.38E-05
Uruguay,URY,Americas,Epidemic,18338.27972,0,53317.77044,3424139.004,0.005355589
Venezuela,VEN,Americas,Epidemic,155713.0508,35657.79667,315767.5084,29851249,0.005216299
Vietnam,VNM,WesternPacific,Epidemic,841673.7712,473525.6944,1290001.444,93640434.98,0.008988358
Yemen,YEM,EasternMed,Epidemic,185751.6064,42250.70555,411885.8823,27168210,0.006837094
Zambia,ZMB,Africa,Epidemic,130423.301,30537.46197,301974.0858,16363449,0.007970404
Zimbabwe,ZWE,Africa,Epidemic,101983.6671,0,298066.2521,14030338,0.007268796
