"reporting","AGO","ARG","BDI","BEN","BFA","BGD","BHS","BLZ","BOL","BRA","BRB","BRN","BTN","BWA","CAF","CHL","CHN","CIV","CMR","COD","COG","COL","COM","CPV","CRI","CUB","CYP","DJI","DOM","ECU","ERI","ETH","FJI","FRA","GAB","GHA","GIN","GMB","GNB","GNQ","GTM","GUY","HND","HRV","HTI","IDN","IND","IRN","ISR","ITA","JAM","JPN","KEN","KHM","KOR","LAO","LBR","LKA","MDG","MDV","MEX","MLI","MLT","MMR","MOZ","MRT","MUS","MWI","MYS","NAM","NER","NGA","NIC","NPL","OMN","PAK","PAN","PER","PHL","PNG","PRY","QAT","RWA","SAU","SDN","SEN","SGP","SLE","SLV","SOM","SUR","SWZ","TCD","TGO","THA","TLS","TTO","TUR","TZA","UGA","URY","USA","VEN","VNM","YEM","ZAF","ZMB","ZWE"
"TUR",1833,23735,273,1359,3845,15390,305,34,192,82777,184,461,6,460,140,18640,399724,5205,8597,5097,2489,23288,67,202,855,10872,1821683,3571,6372,1010,1157,16597,111,1018291,4126,7929,1637,789,169,721,340,48,216,62445,147,31110,145128,2159384,295384,942981,796,109502,19055,1314,248886,101,1156,6320,649,13035,36807,3225,31277,1112,2354,4632,2738,429,83602,1318,2835,32466,267,7259,34778,65220,1198,1945,57665,125,359,144183,3357,1120190,24139,7560,45557,554,130,4591,306,5,2646,993,62194,0,233,NA,10171,6410,1625,759537,5358,7517,26718,51797,1760,1112
"TZA",970,299,6567,451,410,1523,32,8,26,1098,35,2,10,5431,70,230,48484,1254,1726,2606,1411,557,8892,25,724,135,390,717,23,1968,277,20926,23,35078,493,3482,397,141,19,94,24,3,5,494,46,1144,66694,3000,15541,50214,49,5307,265047,889,5849,28,262,1454,1587,240,2502,1028,235,116,14670,68,2643,20577,3947,2066,129,15545,195,838,34038,8241,75,184,1623,65,176,9113,127215,7199,4011,1244,1618,430,19,207,145,8482,348,244,4679,0,290,10098,NA,133186,29,74009,23,1557,2188,137696,199527,57028
"UGA",1173,166,25610,544,568,2167,147,2,42,743,39,5,96,1651,641,30,32178,1593,1944,3841,543,241,386,15,148,48,262,1015,54,34,2178,20871,54,5930,374,4963,173,197,73,74,38,7,14,114,94,734,43299,694,3059,9276,45,3210,208965,323,3648,30,761,1348,736,53,391,937,149,98,2116,111,1447,3121,2074,975,421,9213,26,680,3147,3316,29,174,828,38,46,3837,562098,6834,6702,1645,545,658,20,3123,77,24,549,269,2655,0,116,6195,133186,NA,130,59188,12,429,262,39349,6923,5619
"URY",204,2449640,16,6,6,36,784,65,12176,696419,162,0,0,9,3,91073,4486,27,11,53,10,20007,4,13,4034,20720,32,4,23541,6509,1,35,29,17867,13,18,5,5,14,67,1833,45,703,409,196,2028,1597,71,6760,18487,1154,1034,136,21,1218,10,7,28,7,28,50423,17,53,69,78,4,31,2,143,24,11,99,811,17,21,39,6353,31433,1399,2,60594,216,77,102,5,121,224,5,807,0,82,0,8,5,714,0,246,2856,34,136,NA,151821,16949,359,2,974,37,50
"USA",28415,1076121,2464,6773,11406,144877,1794252,311751,153203,3220270,260810,5105,7886,39375,5115,495671,4677133,19799,31273,11989,5111,2050257,185,20333,1572081,249460,32660,9567,3928958,943132,8119,153896,75753,5374973,6904,102796,8754,8905,488,10458,774154,158418,562242,337456,664976,372136,2641689,176348,1282655,4198782,2264544,4791555,150417,220881,2532484,64592,18041,65969,6728,29583,43611548,10185,31877,75686,47212,4119,12160,12537,318352,26465,8092,494202,480569,72494,75495,266475,573524,917341,1025660,14309,80436,124175,31770,501126,20266,41095,659026,12520,708999,4709,46483,19828,4303,7140,924517,1997,518767,759537,74009,57543,156660,NA,691836,590333,10136,421095,42344,73569
"VEN",490,123008,0,17,4,62,542,100,9971,165091,2653,7,0,0,0,60878,51628,45,43,6,48,519815,0,4,40078,131435,94,0,174134,126670,0,59,6,16649,97,57,0,67,1,119,4071,6312,2317,183,1169,175,3199,1373,2588,77228,1260,5900,117,8,4325,5,0,39,6,4,142907,42,139,79,47,2,2,2,249,33,0,4543,13256,9,399,32,311653,70059,1659,18,3712,381,0,1228,3,56,243,0,4096,0,8988,0,55,28,97,0,38144,5358,19,15,16949,707378,NA,173,0,1623,10,0
"VNM",12389,547,400,27,49,6456,58,6,16,1833,15,11365,0,33,7,329,3941674,367,557,128,115,272,1,2,152,836,3461,9,47,95,11,375,592,176876,28,278,81,1,23,224,24,4,16,820,219,112405,64794,2013,7861,27986,23,856774,1115,1214866,1467214,1301946,10,11014,115,2517,986,72,506,53781,1701,14,631,79,721200,103,16,2620,24,2989,1287,2804,187,730,182595,341,13,12253,81,9594,222,211,988398,20,30,0,126,0,7,78,1194410,0,25,5930,1393,435,173,630694,161,NA,53,7884,93,86
"YEM",5,2,17,0,1,470,0,1,0,17,0,3,0,6,34,1,21979,19,29,9,26,1,245,0,0,35,32,4904,1,3,4637,12408,0,2793,13,20,0,0,0,0,0,0,0,12,0,10099,27268,590,7,866,1,100,5168,8,832,0,1,314,2,100,9,8,37,38,41,46,9,5,25871,0,3,87,0,76,52039,1394,1,5,359,0,0,8358,0,230694,3230,11,67,2,0,190,0,0,23,1,311,0,0,26718,2188,262,1,11384,1,29,NA,663,7,15
"ZAF",107416,9635,3697,3730,2261,13335,2095,102,343,56599,666,170,84,1112903,1251,5056,150142,10605,12281,48953,12977,3318,538,872,1548,4721,5944,1084,809,1501,1230,27190,451,126947,18172,49936,1946,876,124,2070,250,102,279,13025,107,25092,141176,5610,42495,110308,765,27695,120526,5396,31689,214,1991,6822,20133,4306,9938,8245,3264,1455,2245657,1042,182164,63093,27222,564378,778,163983,486,3365,8805,26966,1259,4575,15665,632,494,16729,9168,74179,4486,9896,38704,2775,159,473,212,1648255,1672,1280,80098,0,960,51797,137319,40123,903,421095,1623,8153,663,NA,255289,2645418
"ZMB",2691,112,805,158,201,293,22,2,19,812,12,0,0,10496,98,99,28036,772,644,2739,382,86,118,14,32,38,302,121,16,13,100,6204,18,4302,281,2698,39,72,8,109,9,19,10,86,14,420,29029,95,1410,4805,49,2038,28804,103,1924,16,147,423,855,51,128,417,84,26,5681,102,2467,20087,990,7817,108,5326,8,145,79,1248,64,518,3565,37,10,200,2472,1219,1294,961,484,162,11,155,1,70,125,119,1150,0,14,1700,199527,6920,38,42344,18,119,4,255289,NA,553086
"ZWE",3145,117,406,117,121,230,14,4,8,741,47,1,0,701414,46,18,10821,601,630,2711,530,61,66,20,23,218,1310,75,11,24,237,4840,28,8883,203,2491,36,98,18,196,3,3,5,78,15,290,8223,573,4079,4880,45,1217,16151,56,5766,9,336,119,722,47,1792,360,43,45,283975,45,2921,417138,2498,80903,59,11577,0,71,146,818,24,81,183,53,7,392,1231,489,938,706,799,381,5,127,8,84143,76,155,921,0,13,1323,57028,5619,23,73569,0,88,9,2645418,553086,NA
