"X","country","code","who_region","classification","infections_mean","infections_min","infections_max","total_pop_size","mean_incidence","max_incidence","p_spillover"
95,"South_Africa","ZAF","Africa","Epidemic",352656.699914641,138882.163274688,626070.756649588,55386368.9844608,0.00636721103731466,0.011303697428247,0.0103337973321437
97,"Sri_Lanka","LKA","SoutheastAsia","Epidemic",171321.186372959,33521.9903572363,368252.950662562,20908024.0082239,0.00819404006354556,0.0176129963557395,0.00502017519902244
98,"Sudan","SDN","EasternMed","Epidemic",404664.015296361,162355.396826469,714780.528784761,38902948.0010977,0.0104018856176386,0.0183734283778338,0.0118577526605797
99,"Suriname","SUR","Americas","Epidemic",3553.89531328876,0,10436.3930093963,559136.000721249,0.00635604809689318,0.0186652138226371,0.000104138767010723
100,"Swaziland","SWZ","Africa","Epidemic",7799.96851214897,0,21813.1800445933,1104038.00000972,0.00706494569215942,0.0197576351940796,0.000228560222508631
101,"Tanzania","TZA","Africa","Endemic",871431.831408869,440171.302160537,1615031.5329906,51482637.9844093,0.0169267128788693,0.0313704113895579,0.025535315043604
102,"Thailand","THA","SoutheastAsia","Epidemic",568420.801951425,286136.233520779,902891.47497521,68714519.0016695,0.00827220811860176,0.0131397481652062,0.0166562704413737
103,"Togo","TGO","Africa","Epidemic",55598.6032773929,0,153022.455747843,7323161.99888533,0.00759215804400553,0.0208956808235479,0.00162918979947894
104,"Trinidad_and_Tobago","TTO","Americas","Epidemic",8164.22615442034,0,22468.5755088153,1370332.00169595,0.00595784535741421,0.016396446613673,0.000239233958901072
105,"Turkey","TUR","Europe","Epidemic",13783.6938192247,788.517071549072,47063.2224371187,78529412.9918421,0.000175522690086281,0.000599306943017743,0.000403899595415786
106,"Uganda","UGA","Africa","Epidemic",301715.554581723,92189.9147166831,605761.85183355,38225447.0070336,0.00789305497267845,0.0158470835337017,0.00884108367644095
107,"USA","USA","Americas","Epidemic",7694.76941038147,0,21098.1185362978,320878312.013141,2.39803349815252e-05,6.57511515936726e-05,0.000225477603640332
108,"Uruguay","URY","Americas","Epidemic",18338.2797221465,0,53317.7704405396,3412013.00064499,0.00537462187825191,0.0156264851366219,0.000537361309496434
109,"Venezuela","VEN","Americas","Epidemic",155713.050802468,35657.7966668105,315767.508377835,30081826.9874769,0.00517631628116509,0.0104969524792922,0.0045628145143761
110,"Vietnam","VNM","WesternPacific","Epidemic",841673.771244096,473525.694441529,1290001.4435617,92677082.0436827,0.0090817897228074,0.0139193144099387,0.0246633232090098
111,"Yemen","YEM","EasternMed","Epidemic",185751.606397291,42250.7055503227,411885.882289889,26497880.9931304,0.0070100551227265,0.0155441064286111,0.00544302562547187
112,"Zambia","ZMB","Africa","Epidemic",130423.300966645,30537.4619747579,301974.085808091,15879370.0012343,0.0082133800620873,0.0190167548073141,0.00382175628565887
113,"Zimbabwe","ZWE","Africa","Epidemic",101983.667083031,0,298066.252122117,13814641.9999012,0.00738228808851944,0.0215761112104279,0.00298839791525283
