"country","who_region","classification","infections_mean","infections_min","infections_max","cases_mean","cases_min","cases_max","deaths_mean","deaths_min","deaths_max","dalys_mean","dalys_min","dalys_max"
"Cape_Verde","Africa","Epidemic",3614.39492683886,0,9837.61145170465,1807.19746341943,0,4918.80572585232,2.49327847443884,0,6.9051701860034,136.173023907131,0,385.455931518205
"Central_African_Republic","Africa","Epidemic",37297.6600749583,0,101102.346412691,18648.8300374791,0,50551.1732063454,28.7070009019311,0,79.8894114306401,1337.57162399734,0,3770.63991882763
"Chad","Africa","Epidemic",121551.925345536,0,359606.491399212,60775.9626727678,0,179803.245699606,94.0931106335283,0,285.543310389717,4232.55491228053,0,13024.9664316014
"Chile","Americas","Epidemic",26651.6631183665,0,74361.247095785,13325.8315591833,0,37180.6235478925,20.0420908337916,0,56.8508546437957,954.907339819551,0,2811.93657746993
"China","WesternPacific","Epidemic",166777.064853531,31333.7224520507,362750.24227675,83388.5324267654,15666.8612260253,181375.121138375,119.444174659324,22.3305182288542,262.024350184357,5153.46329765661,954.442352143733,11452.4069294148
"Colombia","Americas","Epidemic",205291.472902252,70070.4807703636,389082.750913914,102645.736451126,35035.2403851818,194541.375456957,144.669397269633,48.6653913068032,278.37405247509,7290.18557179691,2426.52051057624,14221.8079676293
"Comoros","Africa","Epidemic",4986.24546809127,0,14112.9549392827,2493.12273404564,0,7056.47746964136,3.69671600198864,0,10.6077008763381,188.761158743404,0,545.615813675097
"Congo_(Brazzaville)","Africa","Epidemic",39314.740814899,0,110242.919596628,19657.3704074495,0,55121.4597983141,29.1722129690133,0,83.4368488764521,1545.20692877276,0,4494.12007748692
"Congo_(Kinshasa)","Africa","Epidemic",653171.712379267,339246.130840287,1036842.8062723,326585.856189633,169623.065420144,518421.403136152,508.913579111678,262.631892526901,814.35751345526,25647.4816027882,13143.4433162671,41089.7853121004
"Costa_Rica","Americas","Epidemic",17086.9680907237,0,47338.3273345608,8543.48404536183,0,23669.1636672804,12.45464851379,0,35.0086890603624,641.724117876659,0,1836.56212944103
"Croatia","Europe","Epidemic",1031.10603400804,0,7283.49829457432,515.553017004021,0,3641.74914728716,0.87636546618358,0,6.19116494062843,26.8599623977947,0,189.843182160079
"Cuba","Americas","Epidemic",65858.1817906518,0,190872.02112171,32929.0908953259,0,95436.0105608552,52.516855311177,0,153.914612565388,2128.80948971671,0,6328.19576451303
"Cyprus","Europe","Epidemic",299.555488804014,0,1998.95392086286,149.777744402007,0,999.476960431432,0.221141801951927,0,1.47583152895395,9.16767533348718,0,61.1880215026683
"Czech_Republic","Europe","NoTransmission",0,0,0,0,0,0,0,0,0,0,0,0
"Denmark","Europe","NoTransmission",0,0,0,0,0,0,0,0,0,0,0,0
"Djibouti","EasternMed","Epidemic",8947.09825239057,0,23304.0100400311,4473.54912619529,0,11652.0050200155,5.94295541964218,0,15.7658523703142,268.412145121293,0,722.145724884788
"Dominican_Republic","Americas","Epidemic",56341.0280553367,0,156727.905707764,28170.5140276683,0,78363.9528538821,41.1753579336495,0,116.234887126854,2176.46795473334,0,6226.20609344762
"East_Timor_(Timor_Leste)","SoutheastAsia","Epidemic",9729.6402876443,0,26593.5262605671,4864.82014382215,0,13296.7631302835,6.89080914164304,0,19.2098839417586,358.983501357375,0,1014.61500517178
"Ecuador","Americas","Epidemic",54368.8533293373,0,149398.493537533,27184.4266646687,0,74699.2467687664,39.4061633885841,0,109.292645093117,2021.82316817878,0,5737.37492236882
"Egypt","EasternMed","NoTransmission",0,0,0,0,0,0,0,0,0,0,0,0
"El_Salvador","Americas","Endemic",65730.910284608,16983.1045645102,121734.315223066,32865.455142304,8491.5522822551,60867.157611533,48.2144550469632,12.1966604659976,91.2890530289022,2419.03818023544,595.349068111049,4702.67762789511
"Equatorial_Guinea","Africa","Epidemic",9981.86480346102,0,25991.5711704455,4990.93240173051,0,12995.7855852227,7.25163380257161,0,19.2914349007812,355.190173413489,0,962.69731465669
"Eritrea","Africa","Epidemic",20639.5734735343,0,59685.7513339265,10319.7867367672,0,29842.8756669632,15.3439534122894,0,45.5060037411999,837.798501815776,0,2520.19206805087
"Estonia","Europe","NoTransmission",0,0,0,0,0,0,0,0,0,0,0,0
"Ethiopia","Africa","Epidemic",461869.816657781,213954.355228333,769326.852741217,230934.908328891,106977.177614166,384663.426370608,338.304775089291,155.185843098629,570.883203203693,18349.6805998934,8334.04147976369,31331.4183253641
"Fiji","WesternPacific","Epidemic",5852.59436041272,0,15977.0455501748,2926.29718020636,0,7988.52277508738,3.93486364221301,0,10.9340152597603,187.544561503716,0,531.155021331484
"Finland","Europe","NoTransmission",0,0,0,0,0,0,0,0,0,0,0,0
"France","Europe","Epidemic",8444.65561666868,29.6927546708972,40918.1805163014,4222.32780833434,14.8463773354486,20459.0902581507,7.41764376590447,0.0260741915215903,35.9544875833872,262.660267885825,0.92132337074337,1275.48977515529
"French_Guiana","Americas","Epidemic",1493.59320141067,0,4096.8605489809,746.796600705333,0,2048.43027449045,1.10258870079213,0,3.09432158566475,72.303980720169,0,206.502630961869
"French_Polynesia","WesternPacific","Epidemic",2581.94436949995,0,7202.63435232803,1290.97218474998,0,3601.31717616402,1.7955038734939,0,5.07080857119036,93.8482676665017,0,270.534347050586
"Gabon","Africa","Epidemic",14348.504915176,0,36658.6182483343,7174.25245758798,0,18329.3091241672,10.4372031286476,0,27.1328836419094,552.355596348239,0,1456.00937045265
